employee_id,day,time_slot,available
E3,Tuesday,6,1
E3,Tuesday,7,1
E3,Tuesday,8,1
E3,Wednesday,1,1
E3,Wednesday,2,1
E3,Wednesday,3,1
E3,Wednesday,4,1
E3,Wednesday,5,1
E3,Wednesday,6,1
E3,Wednesday,7,1
E3,Wednesday,8,1
E3,Thursday,1,1
E3,Thursday,2,1
E3,Thursday,3,1
E3,Thursday,4,1
E3,Thursday,5,1
E3,Thursday,6,1
E3,Thursday,7,1
E3,Thursday,8,1
E3,Friday,1,1
E3,Friday,2,1
E3,Friday,3,1
E3,Friday,4,1
E3,Friday,5,1
E3,Friday,6,1
E3,Friday,7,1
E3,Friday,8,1
E3,Saturday,1,1
E3,Saturday,2,1
E3,Saturday,3,1
E3,Saturday,4,1
E3,Saturday,5,1
E3,Saturday,6,1
E3,Saturday,7,1
E3,Saturday,8,1
E3,Sunday,1,1
E3,Sunday,2,1
E3,Sunday,3,1
E3,Sunday,4,1
E3,Sunday,5,1
E3,Sunday,6,1
E3,Sunday,7,1
E3,Sunday,8,1
E4,Monday,1,1
E4,Monday,2,1
E4,Monday,3,1
E4,Monday,4,1
E4,Monday,5,1
E4,Monday,6,1
E4,Monday,7,1
E4,Monday,8,1
E4,Tuesday,1,0
E4,Tuesday,2,0
E4,Tuesday,3,1
E4,Tuesday,4,1
E4,Tuesday,5,1
E4,Tuesday,6,1
E4,Tuesday,7,1
E4,Tuesday,8,1
E4,Wednesday,1,1
E4,Wednesday,2,1
E4,Wednesday,3,1
E4,Wednesday,4,1
E4,Wednesday,5,1
E4,Wednesday,6,1
E4,Wednesday,7,1
E4,Wednesday,8,1
E4,Thursday,1,1
E4,Thursday,2,1
E4,Thursday,3,1
E4,Thursday,4,1
E4,Thursday,5,1
E4,Thursday,6,1
E4,Thursday,7,1
E4,Thursday,8,1
E4,Friday,1,1
E4,Friday,2,1
E4,Friday,3,1
E4,Friday,4,1
E4,Friday,5,1
E4,Friday,6,1
E4,Friday,7,1
E4,Friday,8,1
E4,Saturday,1,1
E4,Saturday,2,1
E4,Saturday,3,1
E4,Saturday,4,1
E4,Saturday,5,1
E4,Saturday,6,1
E4,Saturday,7,1
E4,Saturday,8,1
E4,Sunday,1,1
E4,Sunday,2,1
E4,Sunday,3,1
E4,Sunday,4,1
E4,Sunday,5,1
E4,Sunday,6,1
E4,Sunday,7,1
E4,Sunday,8,1
E5,Monday,1,1
E5,Monday,2,1
E5,Monday,3,1
E5,Monday,4,1
E5,Monday,5,1
E5,Monday,6,1
E5,Monday,7,1
E5,Monday,8,1
E5,Tuesday,1,1
E5,Tuesday,2,1
E5,Tuesday,3,1
E5,Tuesday,4,1
E5,Tuesday,5,1
E5,Tuesday,6,1
E5,Tuesday,7,1
E5,Tuesday,8,1
E5,Wednesday,1,1
E5,Wednesday,2,1
E5,Wednesday,3,1
E5,Wednesday,4,0
E5,Wednesday,5,1
E5,Wednesday,6,1
E5,Wednesday,7,1
E5,Wednesday,8,1
E5,Thursday,1,1
E5,Thursday,2,1
E5,Thursday,3,1
E5,Thursday,4,1
E5,Thursday,5,1
E5,Thursday,6,1
E5,Thursday,7,1
E5,Thursday,8,1
E5,Friday,1,1
E5,Friday,2,1
E5,Friday,3,1
E5,Friday,4,1
E5,Friday,5,1
E5,Friday,6,1
E5,Friday,7,1
E5,Friday,8,1
E5,Saturday,1,1
E5,Saturday,2,1
E5,Saturday,3,1
E5,Saturday,4,1
E5,Saturday,5,1
E5,Saturday,6,1
E5,Saturday,7,1
E5,Saturday,8,1
E5,Sunday,1,1
E5,Sunday,2,1
E5,Sunday,3,1
E5,Sunday,4,1
E5,Sunday,5,1
E5,Sunday,6,1
E5,Sunday,7,1
E5,Sunday,8,1
E6,Monday,1,1
E6,Monday,2,1
E6,Monday,3,1
E6,Monday,4,1
E6,Monday,5,1
E6,Monday,6,1
E6,Monday,7,1
E6,Monday,8,1
E6,Tuesday,1,1
E6,Tuesday,2,1
E6,Tuesday,3,1
E6,Tuesday,4,1
E6,Tuesday,5,1
E6,Tuesday,6,1
E6,Tuesday,7,1
E6,Tuesday,8,1
E6,Wednesday,1,1
E6,Wednesday,2,1
E6,Wednesday,3,1
E6,Wednesday,4,1
E6,Wednesday,5,1
E6,Wednesday,6,1
E6,Wednesday,7,1
E6,Wednesday,8,1
E6,Thursday,1,1
E6,Thursday,2,1
E6,Thursday,3,1
E6,Thursday,4,1
E6,Thursday,5,1
E6,Thursday,6,1
E6,Thursday,7,1
E6,Thursday,8,1
E6,Friday,1,1
E6,Friday,2,1
E6,Friday,3,1
E6,Friday,4,1
E6,Friday,5,1
E6,Friday,6,1
E6,Friday,7,0
E6,Friday,8,0
E6,Saturday,1,1
E6,Saturday,2,1
E6,Saturday,3,1
E6,Saturday,4,1
E6,Saturday,5,1
E6,Saturday,6,1
E6,Saturday,7,1
E6,Saturday,8,1
E6,Sunday,1,1
E6,Sunday,2,1
E6,Sunday,3,1
E6,Sunday,4,1
E6,Sunday,5,1
E6,Sunday,6,1
E6,Sunday,7,1
E6,Sunday,8,1
E7,Monday,1,1
E7,Monday,2,1
E7,Monday,3,1
E7,Monday,4,1
E7,Monday,5,1
E7,Monday,6,1
E7,Monday,7,1
E7,Monday,8,1
E7,Tuesday,1,1
E7,Tuesday,2,1
E7,Tuesday,3,1
E7,Tuesday,4,1
E7,Tuesday,5,1
E7,Tuesday,6,1
E7,Tuesday,7,1
E7,Tuesday,8,1
E7,Wednesday,1,1
E7,Wednesday,2,1
E7,Wednesday,3,1
E7,Wednesday,4,1
E7,Wednesday,5,1
E7,Wednesday,6,1
E7,Wednesday,7,1
E7,Wednesday,8,1
E7,Thursday,1,1
E7,Thursday,2,1
E7,Thursday,3,1
E7,Thursday,4,1
E7,Thursday,5,1
E7,Thursday,6,1
E7,Thursday,7,1
E7,Thursday,8,1
E7,Friday,1,1
E7,Friday,2,1
E7,Friday,3,1
E7,Friday,4,1
E7,Friday,5,1
E7,Friday,6,1
E7,Friday,7,1
E7,Friday,8,1
E7,Saturday,1,0
E7,Saturday,2,0
E7,Saturday,3,0
E7,Saturday,4,1
E7,Saturday,5,1
E7,Saturday,6,1
E7,Saturday,7,1
E7,Saturday,8,1
E7,Sunday,1,1
E7,Sunday,2,1
E7,Sunday,3,1
E7,Sunday,4,1
E7,Sunday,5,1
E7,Sunday,6,1
E7,Sunday,7,1
E7,Sunday,8,1
E8,Monday,1,1
E8,Monday,2,1
E8,Monday,3,1
E8,Monday,4,1
E8,Monday,5,1
E8,Monday,6,1
E8,Monday,7,1
E8,Monday,8,1
E8,Tuesday,1,1
E8,Tuesday,2,1
E8,Tuesday,3,1
E8,Tuesday,4,1
E8,Tuesday,5,1
E8,Tuesday,6,1
E8,Tuesday,7,1
E8,Tuesday,8,1
E8,Wednesday,1,1
E8,Wednesday,2,1
E8,Wednesday,3,1
E8,Wednesday,4,1
E8,Wednesday,5,1
E8,Wednesday,6,1
E8,Wednesday,7,1
E8,Wednesday,8,1
E8,Thursday,1,1
E8,Thursday,2,1
E8,Thursday,3,1
E8,Thursday,4,1
E8,Thursday,5,1
E8,Thursday,6,1
E8,Thursday,7,1
E8,Thursday,8,1
E8,Friday,1,1
E8,Friday,2,1
E8,Friday,3,1
E8,Friday,4,1
E8,Friday,5,1
E8,Friday,6,1
E8,Friday,7,1
E8,Friday,8,1
E8,Saturday,1,1
E8,Saturday,2,1
E8,Saturday,3,1
E8,Saturday,4,1
E8,Saturday,5,1
E8,Saturday,6,1
E8,Saturday,7,1
E8,Saturday,8,1
E8,Sunday,1,1
E8,Sunday,2,1
E8,Sunday,3,1
E8,Sunday,4,1
E8,Sunday,5,0
E8,Sunday,6,0
E8,Sunday,7,0
E8,Sunday,8,0
